clean_title,volume_count,page_count,num_of_unique_chrs,num_of_chrs,avg_chr_per_page,avg_chr_per_volume
#Zombie Sagashitemasu,1,173,684,19895,115.0,19895.0
14 Sai no Koi,12,2403,1445,170676,71.02621722846442,14223.0
20 Seiki Shounen,22,5200,1881,584190,112.34423076923076,26554.090909090908
20th Century Boys,22,4472,1997,614308,137.3676207513417,27923.090909090908
21 Seiki Shounen,2,438,947,43739,99.8607305936073,21869.5
21st Century Boys,2,393,1059,48084,122.35114503816794,24042.0
3-gatsu no Lion,15,2867,2059,528599,184.37356121381234,35239.933333333334
6000,4,741,1114,46946,63.35492577597841,11736.5
A Channel,11,1403,1695,296822,211.5623663578047,26983.81818181818
A Silent Voice,7,1354,1319,133587,98.66100443131462,19083.85714285714
ACCA Jusanku Kansatsuka,9,1895,1529,179453,94.69815303430079,19939.222222222223
AKIRA,6,2192,1693,177600,81.02189781021897,29600.0
